city,moreInfoVal,moreInfoVar,name,rating,reviews,street
Somerdale,NA,NA,Flying Fish Brewing Co,NA,NA,900 Kennedy Blvd
Butler,NA,NA,"High Point Brewing Co, Inc.",NA,NA,22 Park Pl
Morristown,NA,NA,"HistoryQuest, LLC",NA,NA,
Lakewood,NA,NA,Icarus Brewing Company,NA,NA,1790 Swarthmore Ave Unit 3 Lot 2
Jersey City,NA,NA,Iron Beard Brewing,NA,NA,
Tinton Falls,NA,NA,Jughandle Brewing Co LLC,NA,NA,4057 Asbury Ave Ste 6
Pitman,NA,NA,Kelly Green Brewing Co.,NA,NA,154 S Broadway # 156
Newton,NA,NA,"Krogh's Brewing, LLC",NA,NA,
Long Branch,NA,NA,Long Branch Brewery,NA,NA,
Ocean View,NA,NA,Ludlam Island Brewery,NA,NA,9 Stoney Ct Unit 3
Haddon Heights,NA,NA,Lunacy Brewing Company,NA,NA,1500 Kings Hwy
Manahawkin,NA,NA,ManaFirkin,NA,NA,450 East Bay Ave Ste 2
Cream Ridge,NA,NA,Screamin Hill Brewery,NA,NA,83 Emleys Hill Rd
Beach Haven,NA,NA,Ship Bottom Brewery,NA,NA,"830 N Bay Ave, Store 23"
South Orange,NA,NA,Soma Brewing LLC,NA,NA,
Somers Point,NA,NA,Somers Point Brewing Company,NA,NA,
Pennington,NA,NA,The Referend Bier Blendery,NA,NA,1595 Reed Rd Unit 2
Pitman,NA,NA,Human Village Brewing Co.,NA,NA,148 S Broadway
Ocean,NA,NA,Kane Brewing,NA,NA,1750 Bloomsbury Ave
Point Pleasant Beach,NA,NA,Last Wave Brewing Co,NA,NA,601 Bay Ave
Wildwood,NA,NA,Mudhen Brewing Company,NA,NA,127 W Rio Grande Ave
North Bergen,NA,NA,New Jersey Beer Co,NA,NA,4201 Tonnelle Ave
Keansburg,NA,NA,"Raritan Bay Brewing, LLC",NA,NA,32 Church Street
Atlantic City,NA,NA,Tun Tavern Brewery and Restaurant,NA,NA,2 Convention Blvd Ste 3
Chatham,NA,NA,Twin Elephant Brewing Company,NA,NA,13 Watchung Ave Ste 103
Marlton,NA,NA,Zed's Beer/Bado Brewing,NA,NA,19 N Maple Ave Unit B
Albuquerque,NA,NA,Bosque Brewing Co,NA,NA,8900 San Mateo Blvd NE Ste I
Bernalillo,NA,NA,Bosque Brewing Co - Bosque North,NA,NA,834 W. Highway 550
Corrales,NA,NA,Casa Vieja LLC,NA,NA,
Eagle Nest,NA,NA,Comanche Creek Brewing Co,NA,NA,225 Comanche Creek Road
Santa Fe,NA,NA,Duel Brewing Company,NA,NA,1228 Parkway Dr Ste D
Hopewell,NA,NA,Troon Brewing,NA,NA,130 Hopewell Rocky Hill Rd # 5
Mount Holly,NA,NA,Village Idiot Brewing Company,NA,NA,42 High St
Hammonton,NA,NA,"Vinyl Brewing Company, LLC",NA,NA,300B 12th St
Santa Fe,NA,NA,"Abbey Brewing Company, LLC",NA,NA,215 W. Alicante Rd
Cimarron,NA,NA,BlÃ¼ Dragonfly Brewing,NA,NA,301 E 9th St # C
Albuquerque,NA,NA,Bombs Away Beer Company,NA,NA,9801 Acoma Rd SE
Mosquero,NA,NA,Callahan West Brewery,NA,NA,20 Main St
Las Cruces,NA,NA,De La Vegaâs Pecan Grill and Brewery,NA,NA,500 S Telshor Blvd
Taos,NA,NA,Eskes Brew Pub,NA,NA,106 Des Georges Pl
Las Cruces,NA,NA,Icebox Brewing LLC,NA,NA,
Santa Fe,NA,NA,Leaf & Hive,NA,NA,
Las Cruces,NA,NA,New Mexico State University Department Of Chemical,NA,NA,
Albuquerque,NA,NA,High and Dry Brewing,NA,NA,529 Adams St NE
Rio Rancho,NA,NA,Las Cazuelas Brewing,NA,NA,4051 Sara Rd SE
Albuquerque,NA,NA,Lava Rock Brewing Company,NA,NA,2220 Unser Blvd
Albuquerque,NA,NA,Marble Brewery - Mav Lab,NA,NA,9904 Montgomery Blvd NE
Las Cruces,NA,NA,Picacho Peak Brewing Company,NA,NA,3900 W Picacho Ave
Albuquerque,NA,NA,Rio Bravo Brewing Company,NA,NA,1912 2nd Street NW
Taos,NA,NA,Taos Ale House,NA,NA,401 Paseo del Pueblo Norte
Albuquerque,NA,NA,The 377 Brewery,NA,NA,2027 Yale Blvd SE
Farmington,NA,NA,Three Rivers Eatery and Brewery,NA,NA,101 E Main St
Truth or Consequences,NA,NA,Truth Or Consequences Brewing Company,NA,NA,410 N Broadway St
Davenport,NA,NA,212 Brewing Company,NA,NA,21476 Route 23
Poughkeepsie,NA,NA,8th Ward Brewing Company,NA,NA,
New York,NA,NA,Alphabet City Brewing Co,NA,NA,96 Avenue C Frnt 4
Blauvelt,NA,NA,Andean Brewing,NA,NA,300 Corporate Dr Ste 2
Central Valley,NA,NA,Apex Brewery,NA,NA,
King Ferry,NA,NA,Aurora Ale & Lager,NA,NA,1891 State Route 90 N
Keeseville,NA,NA,Ausable Brewing Co,NA,NA,765 Mace Chasm Rd
New York,NA,NA,B9 Beverages Inc,NA,NA,404 5th Ave # 7.055
Farmingdale,NA,NA,Barrage Brewing Co,NA,NA,32 Allen Blvd Ste E
Port Crane,NA,NA,Beer Tree Brew Co,NA,NA,197 Rte 369
Long Island City,NA,NA,Big Alice Brewing Company,NA,NA,808 43rd Rd
Holland Patent,NA,NA,16 Stone Brewpub,NA,NA,9542 Main St
East Aurora,NA,NA,42 North Brewing Company,NA,NA,25 Pine St
Ossining,NA,NA,6 Degrees of Separation,NA,NA,35 Main St
Long Island City,NA,NA,Alewife Brewing Company,NA,NA,514 51st Ave
Baldwinsville,NA,NA,Anheuser-Busch Inc â Baldwinsville,NA,NA,2885 Belgium Rd
Accord,NA,NA,Arrowood Farms,NA,NA,236 Lower Whitfield Rd
Dryden,NA,NA,Bacchus Brewing,NA,NA,15 Ellis Dr
Lowville,NA,NA,BarkEater Craft Brewery,NA,NA,5411 Shady Ave
Buffalo,NA,NA,Big Ditch Brewing Company,NA,NA,55 E Huron St
Lake Placid,NA,NA,Big Slide Brewery,NA,NA,5686 Cascade Road
Geneva,NA,NA,"Bottomless Brewing, LLC",NA,NA,3543 E Lake Rd
Astoria,NA,NA,Brewery in Planning - Astoria,NA,NA,
Brooklyn,NA,NA,Brewery In Planning - Brooklyn,NA,NA,
Brooklyn,NA,NA,Brewery in Planning - Brooklyn,NA,NA,
East Rochester,NA,NA,"Brewery in Planning - East Rochester, NY",NA,NA,
Fabius,NA,NA,Brewery in Planning - Fabius,NA,NA,
Long Island City,NA,NA,Brewery in Planning - Long Island City,NA,NA,
Medina,NA,NA,Brewery in Planning - Medina,NA,NA,
New York,NA,NA,Brewery in Planning - New York,NA,NA,
Olivebridge,NA,NA,Brewery in Planning - Olivebridge,NA,NA,
Warwick,NA,NA,Brewery In Planning - Oyster Bay,NA,NA,
Point Lookout,NA,NA,Brewery In Planning - Point Lookout,NA,NA,
Ticonderoga,NA,NA,"Brewery in Planning - TICONDEROGA, NY",NA,NA,
Centerport,NA,NA,"Blind Bat Brewery LLC, The",NA,NA,420 Harrison Dr
Watertown,NA,NA,"Boots Brewing Company, Inc.",NA,NA,89 Public Sq
New Paltz,NA,NA,"Bradley Farm / RB Brew, LLC",NA,NA,317 Springtown Rd
Hyde Park,NA,NA,Brewery At The Culinary Institute Of America,NA,NA,1946 Campus Dr
Spencerport,NA,NA,Brindle Haus Brewing Company,NA,NA,377 S Union St
Albany,NA,NA,CH Evans Brewing Co/Albany Pump Station,NA,NA,19 Quackenbush Sq
Peekskill,NA,NA,CL River Outpost Brewing,NA,NA,5 John Walsh Blvd
Penn Yan,NA,NA,Climbing Bines Craft Ale Company,NA,NA,511 Hanson Point Rd
College Point,NA,NA,College Point Brewery,NA,NA,
Friendship,NA,NA,Country Town Farm Brewery,NA,NA,
Tarrytown,NA,NA,Duncan's Abbey,NA,NA,
Bronx,NA,NA,Dyckman Beer Co,NA,NA,
Chatham,NA,NA,Chatham Brewing LLC,NA,NA,59 Main St
Bronx,NA,NA,Chelsea Craft Brewing Co Llc,NA,NA,463 E 173rd St
Glens Falls,NA,NA,Coopers Cave Ale Co,NA,NA,2 Sagamore St
Phelps,NA,NA,Crafty Ales and Lagers,NA,NA,2 Exchange St
Cazenovia,NA,NA,Critz Farms Brewing & Cider Co.,NA,NA,3232 Rippleton Rd
Athens,NA,NA,Crossroads Brewing Co,NA,NA,21 2nd St
Mamaroneck,NA,NA,Decadent Ales,NA,NA,607A E Boston Post Rd
New City,NA,NA,District 96 Beer Factory,NA,NA,395 S Main St
Bay Shore,NA,NA,Fire Island Beer Co,NA,NA,25 Drexel Dr
New Paltz,NA,NA,Foreign Objects Beer Company,NA,NA,
Brooklyn,NA,NA,Four Beasts Brewery,NA,NA,
Red Hook,NA,NA,From the Ground Brewery,NA,NA,245 Guski Rd
Geneva,NA,NA,G.C. Starkey Beer Company,NA,NA,68 Castle St Apt 1C
Geneva,NA,NA,Gael Brewing Co,NA,NA,4180 State Route 14
